,id,host_id,host_response_rate,host_total_listings_count,host_is_superhost,neighbourhood,property_type,room_type,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,score
77,4085439,21066328,100.0,1.0,f,Adams,House,Private room,2,1,1.0,1.0,1.0,125.0,6,92.0,10.0,10.0,10.0,10.0,10.0,8.0,0.992901444
78,8053990,23228606,100.0,3.0,f,Adams,House,Private room,2,1,1.0,1.0,1.0,65.0,16,94.0,10.0,10.0,10.0,10.0,10.0,10.0,0.849190533
79,7011773,23228606,100.0,3.0,f,Adams,House,Private room,1,1,1.0,1.0,1.0,25.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
80,2467550,811494,100.0,1.0,f,Adams,House,Entire home/apt,4,2,1.0,0.0,2.0,40.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8301265840000001
81,2686374,2231298,100.0,4.0,f,Adams,House,Entire home/apt,6,4,1.0,3.0,4.0,149.0,165,95.0,9.0,10.0,10.0,10.0,10.0,9.0,0.5
82,1956274,7466082,100.0,1.0,t,Adams,Apartment,Entire home/apt,2,0,1.5,1.0,1.0,125.0,48,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9226369259999999
83,8537192,43954674,67.0,3.0,f,Adams,House,Private room,2,1,0.5,1.0,1.0,55.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.956822753
84,5919096,53050,100.0,2.0,t,Adams,Apartment,Entire home/apt,4,1,1.0,1.0,3.0,129.0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.958305657
85,6516529,3781927,94.88679817905918,1.0,f,Adams,Apartment,Entire home/apt,2,1,1.0,1.0,1.0,100.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9950348729999999
86,3294243,4970133,100.0,1.0,t,Adams,Apartment,Entire home/apt,4,1,2.0,2.0,2.0,150.0,27,93.0,10.0,10.0,10.0,10.0,10.0,9.0,0.989191294
87,10210971,24709547,94.88679817905918,1.0,f,Adams,Townhouse,Private room,1,1,1.0,1.0,1.0,50.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.90625596
88,3584790,2882219,100.0,1.0,f,Adams,Apartment,Entire home/apt,6,4,1.0,2.0,3.0,99.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.987736464
89,1266459,2317654,100.0,1.0,f,Adams,Apartment,Entire home/apt,2,2,1.5,1.0,1.0,150.0,9,98.0,10.0,10.0,10.0,10.0,9.0,9.0,0.9939990040000001
91,408526,2034501,100.0,2.0,f,Adams,House,Entire home/apt,7,4,4.0,3.0,3.0,218.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
92,4118282,19071753,100.0,1.0,f,Adams,House,Entire home/apt,5,1,1.5,2.0,2.0,80.0,88,95.0,10.0,10.0,10.0,10.0,9.0,9.0,0.991095603
93,6813483,35674639,67.0,1.0,f,Adams,Apartment,Entire home/apt,2,2,1.0,1.0,1.0,126.0,10,98.0,9.0,10.0,10.0,10.0,10.0,9.0,0.8837519290000001
94,6590264,24500821,100.0,1.0,f,Adams,Apartment,Entire home/apt,4,2,1.0,1.0,2.0,115.0,5,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0.977135539
95,2650482,205007,100.0,1.0,f,Adams,Apartment,Entire home/apt,4,1,2.0,2.0,2.0,225.0,10,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0.9503837820000001
97,4395578,430709,88.0,36.0,f,Adams,House,Entire home/apt,8,1,2.5,3.0,5.0,225.0,1,100.0,10.0,10.0,10.0,10.0,8.0,10.0,0.973162293
98,4995903,13535511,94.88679817905918,1.0,f,Adams,House,Entire home/apt,1,1,1.0,0.0,1.0,50.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.979604006
99,5549211,28770702,100.0,4.0,t,Adams,Apartment,Entire home/apt,4,1,1.0,1.0,2.0,134.0,40,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.985792398
100,8240758,15785670,94.88679817905918,1.0,f,Adams,Apartment,Entire home/apt,2,1,1.0,1.0,1.0,75.0,2,80.0,9.0,10.0,10.0,10.0,10.0,9.0,0.96331656
101,6856295,34872403,90.0,1.0,f,Adams,House,Private room,2,2,1.0,1.0,1.0,65.0,46,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9704554679999999
102,6881188,33225983,100.0,2.0,f,Adams,House,Entire home/apt,6,1,2.5,3.0,4.0,375.0,23,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.894037008
103,1579615,8403307,100.0,2.0,t,Adams,House,Entire home/apt,3,2,1.0,1.0,2.0,97.0,44,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8893671040000001
104,3766866,19296907,100.0,1.0,t,Adams,Condominium,Entire home/apt,2,2,1.0,1.0,1.0,145.0,14,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.994721711
105,2406966,53050,100.0,2.0,t,Adams,Apartment,Entire home/apt,5,1,1.0,2.0,4.0,129.0,12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9203004840000001
106,4872699,25066447,50.0,1.0,f,Adams,House,Entire home/apt,6,1,1.5,3.0,4.0,197.0,1,100.0,8.0,10.0,10.0,10.0,10.0,8.0,0.8796330090000001
107,5470629,28375755,100.0,1.0,t,Adams,Apartment,Entire home/apt,2,2,1.0,1.0,1.0,120.0,25,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9962425229999999
108,2950213,15060417,100.0,1.0,t,Adams,Apartment,Entire home/apt,4,4,1.0,1.0,1.0,200.0,35,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0.8739322420000001
109,9015088,29133654,100.0,2.0,f,Adams,Apartment,Entire home/apt,5,4,2.0,2.0,2.0,135.0,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.945931137
110,3979496,4807375,100.0,1.0,t,Adams,House,Private room,2,2,1.0,1.0,1.0,70.0,31,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0.934298635
111,7501919,36085516,100.0,1.0,f,Adams,Apartment,Entire home/apt,2,1,1.0,1.0,2.0,150.0,7,97.0,8.0,10.0,10.0,10.0,10.0,9.0,0.778430521
112,4732995,19533935,80.0,1.0,f,Adams,Apartment,Entire home/apt,3,1,1.0,1.0,1.0,200.0,4,95.0,10.0,9.0,10.0,10.0,10.0,10.0,0.949479222
113,7134759,23228606,100.0,3.0,f,Adams,Townhouse,Private room,2,1,1.0,1.0,1.0,60.0,16,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.890034735
114,4532538,23489864,94.88679817905918,1.0,f,Adams,House,Entire home/apt,5,1,3.0,3.0,5.0,180.0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.966739893
115,7534398,39472587,100.0,1.0,f,Adams,Apartment,Private room,3,2,1.0,1.0,1.0,69.0,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.966952384
116,9387189,1539790,100.0,1.0,f,Adams,Apartment,Entire home/apt,3,2,1.0,0.0,1.0,90.0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
117,6337492,32998581,100.0,1.0,f,Adams,Apartment,Entire home/apt,2,2,1.0,1.0,1.0,80.0,5,92.0,9.0,8.0,9.0,10.0,10.0,10.0,0.8493359090000001
118,10231701,52580911,94.88679817905918,1.0,f,Adams,Townhouse,Private room,2,1,1.5,1.0,1.0,65.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.873552799
119,1609922,3494510,100.0,1.0,t,Adams,House,Entire home/apt,5,2,1.5,2.0,2.0,150.0,26,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0.900240064
120,4236723,2231298,100.0,4.0,f,Adams,House,Entire home/apt,6,4,1.5,2.0,3.0,195.0,113,94.0,9.0,9.0,10.0,10.0,10.0,9.0,0.83493185
121,7843837,19001873,50.0,1.0,f,Adams,Apartment,Entire home/apt,4,1,1.0,1.0,1.0,149.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
122,3076065,15655683,100.0,1.0,t,Adams,House,Entire home/apt,5,1,3.0,2.0,2.0,224.0,15,96.0,10.0,10.0,9.0,10.0,10.0,9.0,0.5
123,6423204,33367198,100.0,1.0,f,Adams,House,Entire home/apt,3,2,1.0,2.0,2.0,115.0,44,91.0,9.0,9.0,10.0,10.0,9.0,9.0,0.99463141
124,8338849,43954674,67.0,3.0,f,Adams,House,Private room,2,1,1.0,1.0,1.0,55.0,7,94.0,10.0,10.0,10.0,10.0,10.0,10.0,0.972531378
125,6401209,28770702,100.0,4.0,t,Adams,House,Entire home/apt,8,6,2.5,4.0,5.0,338.0,13,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.95978719
126,20928,79450,100.0,2.0,t,Adams,House,Entire home/apt,2,1,1.0,1.0,1.0,79.0,44,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9483605620000001
127,3344977,16884006,100.0,1.0,t,Adams,House,Private room,2,1,1.0,1.0,1.0,80.0,56,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.943967342
